trip_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,congestion_surcharge,total_amount
1302,2.0,7.5,3.0,0.5,0.0,0.0,0.3,2.5,11.3
1303,1.0,26.5,1.0,0.5,6.16,0.0,0.3,2.5,36.96
1304,1.0,5.5,3.5,0.5,2.0,0.0,0.3,2.5,11.8
1305,1.0,15.0,2.5,0.5,3.65,0.0,0.3,2.5,21.95
1306,2.0,5.0,0.0,0.5,0.0,0.0,0.3,2.5,8.3
1307,1.0,21.0,2.5,0.5,4.85,0.0,0.3,2.5,29.15
1308,1.0,5.5,0.0,0.5,2.64,0.0,0.3,2.5,11.44
1309,1.0,7.0,0.5,0.5,1.0,0.0,0.3,2.5,11.8
1310,2.0,4.0,3.0,0.5,0.0,0.0,0.3,2.5,7.8
1311,1.0,5.0,2.5,0.5,1.0,0.0,0.3,2.5,9.3
1312,1.0,8.0,2.5,0.5,2.25,0.0,0.3,2.5,13.55
1313,1.0,7.5,0.0,0.5,1.0,0.0,0.3,2.5,11.8
1314,1.0,10.5,0.0,0.5,2.76,0.0,0.3,2.5,16.56
1315,1.0,7.0,1.0,0.5,3.39,0.0,0.3,2.5,14.69
1316,1.0,6.0,1.0,0.5,0.0,0.0,0.3,2.5,10.3
1317,1.0,5.0,0.0,0.5,1.66,0.0,0.3,2.5,9.96
1318,1.0,13.0,0.0,0.5,3.0,0.0,0.3,2.5,19.3
1319,1.0,14.0,2.5,0.5,3.45,0.0,0.3,2.5,20.75
1320,2.0,6.0,2.5,0.5,0.0,0.0,0.3,2.5,9.3
1321,2.0,7.5,1.0,0.5,0.0,0.0,0.3,2.5,11.8
1322,1.0,26.5,3.5,0.5,6.15,0.0,0.3,2.5,36.95
1323,1.0,44.0,0.0,0.5,7.0,6.12,0.3,2.5,60.42
1324,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
1325,1.0,11.5,1.0,0.5,3.95,0.0,0.3,2.5,19.75
1326,1.0,8.5,0.5,0.5,2.46,0.0,0.3,2.5,14.76
1327,1.0,5.5,3.5,0.5,1.47,0.0,0.3,2.5,11.27
1328,1.0,37.5,0.5,0.5,11.85,6.12,0.3,2.5,59.27
1329,1.0,6.0,0.5,0.5,1.96,0.0,0.3,2.5,11.76
1330,2.0,5.5,0.0,0.5,0.0,0.0,0.3,2.5,8.8
1331,1.0,5.5,1.0,0.5,1.96,0.0,0.3,2.5,11.76
1332,1.0,9.0,0.0,0.5,2.46,0.0,0.3,2.5,14.76
1333,1.0,100.0,0.0,0.0,20.56,0.0,0.3,2.5,123.36
1334,1.0,18.5,0.5,0.5,1.5,0.0,0.3,2.5,23.8
1335,1.0,7.5,0.0,0.5,2.7,0.0,0.3,2.5,13.5
1336,1.0,16.0,0.0,0.5,3.86,0.0,0.3,2.5,23.16
1337,2.0,7.0,2.5,0.5,0.0,0.0,0.3,2.5,10.3
1338,1.0,9.0,0.0,0.5,1.7,0.0,0.3,2.5,14.0
1339,1.0,6.0,1.0,0.5,1.95,0.0,0.3,0.0,9.75
1340,1.0,8.0,0.0,0.5,1.7,0.0,0.3,2.5,13.0
1341,1.0,6.5,0.0,0.5,2.0,0.0,0.3,2.5,11.8
1342,1.0,5.0,0.0,0.5,2.49,0.0,0.3,2.5,10.79
1343,2.0,6.0,0.0,0.5,0.0,0.0,0.3,2.5,9.3
1344,2.0,10.0,0.0,0.5,0.0,0.0,0.3,2.5,13.3
1345,1.0,17.5,0.0,0.5,4.16,0.0,0.3,2.5,24.96
1346,1.0,14.5,0.0,0.5,3.56,0.0,0.3,2.5,21.36
1347,1.0,6.5,0.0,0.5,2.0,0.0,0.3,2.5,11.8
1348,1.0,52.0,2.5,0.5,12.25,6.12,0.3,2.5,73.67
1349,1.0,10.5,3.5,0.5,2.95,0.0,0.3,2.5,17.75
1350,2.0,5.0,0.0,0.5,0.0,0.0,0.3,2.5,8.3
1351,2.0,10.0,1.0,0.5,0.0,0.0,0.3,2.5,14.3
1352,1.0,6.5,3.0,0.5,2.55,0.0,0.3,2.5,12.85
1353,1.0,6.0,1.0,0.5,3.09,0.0,0.3,2.5,13.39
1354,1.0,5.5,0.0,0.5,0.0,0.0,0.3,2.5,8.8
1355,1.0,8.5,1.0,0.5,2.56,0.0,0.3,2.5,15.36
1356,1.0,6.0,2.5,0.5,1.85,0.0,0.3,2.5,11.15
1357,2.0,15.0,2.5,0.5,0.0,0.0,0.3,2.5,18.3
1358,1.0,7.0,1.0,0.5,2.26,0.0,0.3,2.5,13.56
1359,2.0,11.0,0.0,0.5,0.0,0.0,0.3,2.5,14.3
1360,2.0,9.5,1.0,0.5,0.0,0.0,0.3,2.5,13.8
1361,2.0,4.5,0.0,0.5,0.0,0.0,0.3,0.0,5.3
1362,2.0,24.0,0.0,0.5,0.0,0.0,0.3,0.0,24.8
1363,2.0,6.5,2.5,0.5,0.0,0.0,0.3,2.5,9.8
1364,1.0,8.5,0.0,0.5,2.36,0.0,0.3,2.5,14.16
1365,1.0,8.5,1.0,0.5,2.56,0.0,0.3,2.5,15.36
1366,1.0,13.5,2.5,0.5,3.35,0.0,0.3,2.5,20.15
1367,1.0,7.0,0.0,0.5,2.06,0.0,0.3,2.5,12.36
1368,1.0,4.0,1.0,0.5,1.24,0.0,0.3,2.5,9.54
1369,1.0,15.0,0.5,0.5,3.76,0.0,0.3,2.5,22.56
1370,1.0,10.0,1.0,0.5,1.5,0.0,0.3,2.5,15.8
1371,2.0,11.5,1.0,0.5,0.0,0.0,0.3,2.5,15.8
1372,1.0,7.0,0.5,0.5,2.16,0.0,0.3,2.5,12.96
1373,1.0,10.0,3.0,0.5,1.0,0.0,0.3,2.5,14.8
1374,1.0,7.0,2.5,0.5,2.55,0.0,0.3,2.5,12.85
1375,2.0,3.0,1.0,0.5,0.0,0.0,0.3,0.0,4.8
1376,1.0,23.5,0.5,0.5,5.46,0.0,0.3,2.5,32.76
1377,1.0,6.0,0.5,0.5,2.0,0.0,0.3,2.5,11.8
1378,1.0,7.5,1.0,0.5,2.95,0.0,0.3,2.5,14.75
1379,1.0,9.5,2.5,0.5,1.0,0.0,0.3,2.5,13.8
1380,2.0,4.0,2.5,0.5,0.0,0.0,0.3,2.5,7.3
1381,2.0,7.0,0.5,0.5,0.0,0.0,0.3,2.5,10.8
1382,1.0,7.5,0.5,0.5,2.26,0.0,0.3,2.5,13.56
1383,1.0,13.0,2.5,0.5,3.25,0.0,0.3,2.5,19.55
1384,1.0,8.0,0.5,0.5,2.95,0.0,0.3,2.5,14.75
1385,1.0,23.0,0.5,0.5,5.0,0.0,0.3,2.5,31.8
1386,2.0,7.5,0.5,0.5,0.0,0.0,0.3,2.5,11.3
1387,1.0,5.5,0.5,0.5,1.86,0.0,0.3,2.5,11.16
1388,1.0,10.0,1.0,0.5,1.0,0.0,0.3,2.5,15.3
1389,2.0,18.5,0.5,0.5,0.0,0.0,0.3,2.5,22.3
1390,1.0,17.0,2.5,0.5,4.05,0.0,0.3,2.5,24.35
1391,2.0,6.5,3.0,0.5,0.0,0.0,0.3,2.5,10.3
1392,1.0,7.5,1.0,0.5,2.36,0.0,0.3,2.5,14.16
1393,2.0,6.5,0.5,0.5,0.0,0.0,0.3,2.5,10.3
1394,1.0,9.5,0.0,0.5,1.0,0.0,0.3,2.5,13.8
1395,1.0,7.5,0.0,0.5,2.7,0.0,0.3,2.5,13.5
1396,1.0,10.0,1.0,0.5,2.14,0.0,0.3,2.5,16.44
1397,1.0,4.5,0.0,0.5,1.17,0.0,0.3,2.5,8.97
1398,1.0,6.0,2.5,0.5,1.85,0.0,0.3,2.5,11.15
1399,1.0,15.0,0.0,0.5,3.66,0.0,0.3,2.5,21.96
1400,1.0,16.0,0.5,0.5,3.96,0.0,0.3,2.5,23.76
1401,1.0,9.0,0.0,0.5,2.46,0.0,0.3,2.5,14.76
1402,2.0,7.5,0.0,0.5,0.0,0.0,0.3,2.5,10.8
1403,1.0,7.0,3.5,0.5,2.8,0.0,0.3,2.5,14.1
1404,1.0,4.5,0.5,0.5,1.66,0.0,0.3,2.5,9.96
1405,1.0,9.5,1.0,0.5,2.76,0.0,0.3,2.5,16.56
1406,1.0,4.0,1.0,0.5,1.66,0.0,0.3,2.5,9.96
1407,1.0,52.0,0.0,0.5,12.28,6.12,0.3,2.5,73.7
1408,2.0,4.0,2.5,0.5,0.0,0.0,0.3,2.5,7.3
1409,1.0,13.0,0.5,0.5,3.36,0.0,0.3,2.5,20.16
1410,1.0,17.0,3.5,0.5,4.25,0.0,0.3,2.5,25.55
1411,1.0,20.5,0.0,0.5,2.0,0.0,0.3,2.5,25.8
1412,1.0,8.5,1.0,0.5,2.56,0.0,0.3,2.5,15.36
1413,2.0,13.0,0.0,0.5,0.0,0.0,0.3,2.5,16.3
1414,1.0,28.5,0.0,0.5,7.58,6.12,0.3,2.5,45.5
1415,1.0,6.0,0.0,0.5,0.0,0.0,0.3,2.5,9.3
1416,1.0,22.5,0.0,0.5,6.45,0.0,0.3,2.5,32.25
