trip_id,location_id
833,249
834,143
835,239
836,230
837,230
838,230
839,162
840,148
841,80
842,234
843,97
844,161
845,186
846,162
847,162
848,25
849,75
850,162
851,186
852,186
853,263
854,229
855,238
856,79
857,48
858,142
859,163
860,107
861,132
862,170
863,237
864,137
865,230
866,48
867,41
868,263
869,75
870,142
871,164
872,113
873,79
874,68
875,236
876,4
877,74
878,239
879,234
880,170
881,48
882,186
883,186
884,230
885,170
886,138
887,186
888,232
889,95
890,239
891,112
892,186
893,236
894,140
895,161
896,162
897,244
898,237
899,237
900,237
901,164
902,230
903,151
904,75
905,113
906,68
907,239
908,162
909,249
910,170
911,132
912,237
913,237
914,43
915,162
916,132
917,107
918,141
919,163
920,140
921,43
922,229
923,237
924,211
925,164
926,249
927,170
928,68
929,234
930,263
931,237
932,100
933,186
934,162
935,162
936,125
937,239
938,75
939,231
940,79
941,229
942,68
943,231
944,239
945,162
946,107
947,13
948,230
949,249
950,261
951,107
952,234
953,211
954,82
955,90
956,236
957,236
958,186
959,186
960,50
961,68
962,13
963,132
964,107
965,246
966,211
967,230
968,170
969,137
970,162
971,170
972,148
973,90
974,138
975,162
976,234
977,239
978,237
979,237
980,161
981,170
982,74
983,237
984,48
985,158
986,79
987,161
988,161
989,140
990,164
991,164
992,229
993,238
994,237
995,43
996,234
997,264
998,48
999,142
1000,237
1001,148
1002,164
1003,152
1004,261
1005,164
1006,100
1007,236
1008,263
1009,234
1010,68
1011,246
1012,79
1013,148
1014,43
1015,237
1016,82
1017,237
1018,237
1019,142
1020,142
1021,234
1022,229
1023,164
1024,262
1025,13
1026,263
1027,164
1028,211
1029,237
1030,237
1031,196
1032,236
1033,100
1034,48
1035,87
1036,234
1037,79
1038,68
1039,143
1040,161
1041,140
1042,107
1043,107
1044,143
1045,48
1046,262
1047,237
1048,229
1049,233
1050,186
1051,166
1052,238
1053,144
1054,230
1055,141
1056,132
1057,114
1058,162
1059,48
1060,263
1061,50
1062,186
1063,186
1064,79
1065,163
1066,236
1067,47
1068,237
1069,239
1070,262
1071,211
1072,68
1073,159
1074,224
1075,144
1076,148
1077,186
1078,246
1079,141
1080,249
1081,237
1082,75
1083,162
1084,249
1085,230
1086,237
1087,161
1088,141
1089,138
1090,237
1091,141
1092,230
1093,143
1094,261
1095,138
1096,48
1097,239
1098,161
1099,68
1100,162
1101,229
1102,233
1103,170
1104,143
1105,100
1106,231
1107,161
1108,88
1109,249
1110,141
1111,238
1112,249
1113,237
1114,246
1115,13
1116,186
1117,231
1118,48
1119,132
1120,125
1121,170
1122,79
1123,231
1124,186
1125,79
1126,142
1127,161
1128,236
1129,236
1130,231
1131,143
1132,114
1133,132
1134,162
1135,24
1136,237
1137,230
1138,231
1139,263
1140,162
1141,142
1142,141
1143,141
1144,107
1145,107
1146,229
1147,186
1148,48
1149,42
1150,141
1151,79
1152,43
1153,161
1154,233
1155,186
1156,138
1157,263
1158,161
1159,161
1160,162
1161,79
1162,68
1163,249
1164,142
1165,100
1166,186
1167,237
1168,116
1169,239
1170,234
1171,230
1172,162
1173,234
1174,68
1175,100
1176,125
1177,68
1178,130
1179,141
1180,48
1181,161
1182,164
1183,137
1184,141
1185,162
1186,140
1187,186
1188,161
1189,48
1190,45
1191,107
1192,144
1193,50
1194,100
1195,113
1196,132
1197,107
1198,263
1199,100
1200,230
1201,262
1202,138
1203,262
1204,48
1205,161
1206,230
1207,236
1208,234
1209,48
1210,48
1211,162
1212,162
1213,33
1214,125
1215,237
1216,237
1217,234
1218,236
1219,125
1220,41
1221,229
1222,140
1223,125
1224,132
1225,68
1226,164
1227,186
1228,249
1229,100
1230,236
1231,231
1232,90
1233,142
1234,113
1235,138
1236,186
1237,132
1238,237
1239,79
1240,107
1241,107
1242,186
1243,144
1244,88
1245,262
1246,161
1247,137
1248,239
1249,162
1250,48
1251,186
1252,140
1253,263
1254,68
1255,233
1256,162
1257,246
1258,231
1259,90
1260,243
1261,161
1262,229
1263,231
1264,246
1265,138
1266,164
1267,142
1268,107
1269,50
1270,141
1271,45
1272,224
1273,234
1274,158
1275,137
1276,232
1277,224
1278,142
1279,233
1280,41
1281,229
1282,262
1283,249
1284,107
1285,24
1286,138
1287,263
1288,141
1289,246
1290,236
1291,164
1292,143
1293,113
1294,170
1295,41
1296,164
1297,68
1298,4
1299,132
1300,132
1301,48
1302,229
1303,186
1304,237
1305,186
1306,170
1307,140
1308,107
1309,236
1310,79
1311,79
1312,163
1313,48
1314,142
1315,107
1316,158
1317,231
1318,68
1319,66
1320,13
1321,239
1322,13
1323,138
1324,93
1325,164
1326,68
1327,239
1328,79
1329,107
1330,230
1331,140
1332,161
1333,113
1334,141
1335,161
1336,75
1337,263
1338,107
1339,41
1340,142
1341,264
1342,79
1343,238
1344,158
1345,163
1346,162
1347,164
1348,145
1349,237
1350,48
1351,163
1352,79
1353,234
1354,141
1355,90
1356,143
1357,263
1358,263
1359,163
1360,186
1361,41
1362,132
1363,142
1364,237
1365,142
1366,163
1367,230
1368,237
1369,234
1370,79
1371,162
